Restaurant,Nickname,Review,Date,Revisit_Count,Reviewer_Review_Count,Reviewer_Photo_Count
회스시,JREVE,친구랑 오랜만에 회먹으러 갔는데 예약없이 그냉 지나다 들어간건데 맛집이네요!ㅎㅎ 새우튀김도 바삭한게 넘 잘 먹고왔습니다😋,8.19.화,1,221,11
회스시,xmdnlxl2666,"멍게좋아하는데 엄청신선하고 맛있네요!!
새우튀김고 바삭하게 잘 튀겨져서 잘먹엇습니다😋",8.25.월,1,16,8
회스시,asdfasdfa72,가성비 진짜 너무 좋아요ㅎㅎ 이미 주변에서 너무 맛있고 가성비있게 먹을 수 있다고 소문나있더라구요?! 저희도 맛있게 잘먹었어요ㅎㅎ,7.9.수,1,76,21
회스시,jsm****,세트 구성도 너무 좋아요 ! 매운탕도 진짜 너무 시원하고 무엇보다 회가 신선해서 엄청 맛있게 잘 먹었답니당 ~ 별 기대 없이 갔는데 기분 좋은 식사였어요 👍🏻👍🏻,8.9.토,1,12,4
회스시,잉딩11,남자친구랑 회먹고왔는데 푸짐하고 서비스도 주시고 다음에 또갈게요,8.21.목,1,78,16
회스시,콩콩이콩콩쓰,회 땡겨서 먹으러 갔는데 회가 엄청 신선하고 다른 메뉴도 하나같이 다 맛있었어용 ! 둘이서 진짜 맛있디며 이것저것 시켜 먹고는 배가 빵빵하니 기분 좋게 나왔답니다 ㅋㅋㅋㅋㅋㅋ 잘 먹고 가요,8.3.일,1,16,7
회스시,lovelylimmy,와 여기 회 왜이렇게 맛있어용?!👍🏻🤣 그동안 남자친구랑 이곳저곳 해산물 맛집은 돌아다녀봤지만 여기가 원탑인듯! 아참 이집 회덮밥도 기가막히게 잘하니 꼭 드셔보시길 강추!,6.29.일,1,212,83
회스시,Elff0108,"활어초밥 너무 좋아해서 친구가 추천해줘서 와봤는데
회두께도 적당하고 진짜 맛잇네요!!🙂‍↕️",8.18.월,1,16,6
회스시,kim****,지인추천으로 왔는데 모둠회 초밥 같이있어서 너무 좋았어요 ㅎㅎ 매운탕도 깔끔하고 비린내안나서 맛있게먹었네요👍🏻,8.14.목,1,6,4
회스시,yeo****,"회 맛집이에요!!
그리고 찐맛집은 매운탕이랑 사이드가 맛있어야하는데,
여긴 튀김, 구이, 탕 다 합격입니다!!
맛있어요 굿굿 👍🏻👍🏻
더보기",6.26.목,1,24,26
